EDHU  A0759
EDHU  A0784
EDHU  A0796
EDHU  A0931
EDHU  A0932
EDHU  A0935
I8847  ABORDAJE PSICOLOGICO DEL PROCESO ALIMENTARIO NUTRICIO
I8638  ACTUALIDADES EN SALUD
CT122  ACTUALIZACION FISCAL PERMANENTE
ADMI  AD113
ADMI  AD114
ADMI  AD116
ADMI  AD133
ADMI  AD134
ADMI  AD142
I7370  ADMINISTRACION
AD100  ADMINISTRACION AGRICOLA
AD101  ADMINISTRACION CONTEMPORANEA
AD144  ADMINISTRACION DE CASINOS Y CASAS DE JUEGOS
SI100  ADMINISTRACION DE CENTROS DE COMPUTO
AD102  ADMINISTRACION DE CENTROS EDUCATIVOS
MN100  ADMINISTRACION DE COMERCIALIZADORAS INTERNACIONALES
AD103  ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES
AD104  ADMINISTRACION DE EMPRESAS CONSTRUCTORAS
AD105  ADMINISTRACION DE EMPRESAS GANADERAS
AD106  ADMINISTRACION DE GRANJAS AVICOLAS
AD107  ADMINISTRACION DE GRANJAS PORCINAS
AD108  ADMINISTRACION DE HOSPITALES
CS148  ADMINISTRACION DE HOSPITALES
MN101  ADMINISTRACION DE LA FUERZA DE VENTAS
AD109  ADMINISTRACION DE LA MICRO Y PEQUEÑA EMPRESA
RH140  ADMINISTRACION DE LA NEGOCIACION COLECTIVA
AD111  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
I5110  ADMINISTRACION DE LA PRODUCCION Y LA TECNOLOGIA
RH100  ADMINISTRACION DE LAS COMPENSACIONES
P0605  ADMINISTRACION DE LOS RECURSOS PARA LA SALUD
P0604  ADMINISTRACION DE LOS SERVICIOS DE SALUD
AD112  ADMINISTRACION DE OPERACIONES
CS138  ADMINISTRACION DE PROGRAMAS DE NUTRICION
I5111  ADMINISTRACION DE PYMES
RH102  ADMINISTRACION DE RECURSOS HUMANOS
I5091  ADMINISTRACION DE RECURSOS HUMANOS
CS141  ADMINISTRACION DE SERVICIOS DE ALIMENTOS
AD115  ADMINISTRACION DE SOCIEDADES COOPERATIVAS
FN100  ADMINISTRACION DEL CAPITAL Y FUENTES DE FINANCIAMIENTO
EA101  ADMINISTRACION EN LOS SERVICIOS DE ENFERMERIA
AD117  ADMINISTRACION ESTRATEGICA
I5139  ADMINISTRACION ESTRATEGICA
FN101  ADMINISTRACION FINANCIERA
I5099  ADMINISTRACION FINANCIERA
CS100  ADMINISTRACION GENERAL
AD118  ADMINISTRACION HOTELERA
AD119  ADMINISTRACION I
I0942  ADMINISTRACION I
AD120  ADMINISTRACION II
I5082  ADMINISTRACION II
RH104  ADMINISTRACION III (ADMINISTRACION DE RECURSOS HUMANOS)
RH105  ADMINISTRACION IV (HABILIDADES DIRECTIVAS)
I5112  ADMINISTRACION PARA LA TOMA DE DECISIONES
AD122  ADMINISTRACION PUBLICA
D1028  ADMINISTRACION PUBLICA
AD123  ADMINISTRACION PUBLICA COMPARADA
D1068  ADMINISTRACION PUBLICA DEL AMBIENTE
AD124  ADMINISTRACION SILVICOLA
IF147  ADMINISTRACION Y DISEÑO DE REDES
EA143  ADMINISTRACION Y GESTION DE LA CALIDAD DE ENFERMERIA
I7570  AERODINAMICA
TR102  AGENCIA DE VIAJES
CT123  AGRICOLAS
CT124  AGROPECUARIAS
IF100  ALGEBRA
I5802  ALGEBRA LINEAL
I0172  ALGEBRA LINEAL I
MT120  ALGEBRA LINEAL I
H0606  ALGORITMO Y ESTRUCTURAS DE DATOS
CB118  ALGORITMOS Y ESTRUCTURAS DE DATOS
CT125  ALIANZAS
I8673  ALIMENTACION
CS142  ALIMENTACION INSTITUCIONAL
I8862  ALIMENTACION Y NUTRICION APLICADA A POBLACIONES
I8879  ALIMENTACION Y NUTRICION EN EL ADULTO MAYOR
I8829  ALIMENTACION Y SALUD PUBLICA
NC106  ALTERACIONES NEURALES Y ACTIVIDAD PSIQUICA
RH128  AMBIENTE Y DESARROLLO
CB119  AMPLIFICADORES DE ALTA POTENCIA
I5328  ANALISIS CONTABLE DE CONCEPTOS ESPECIFICOS
I5164  ANALISIS CONTABLE Y FINANCIERO
CB121  ANALISIS DE ALGORITMOS Y COMPUTABILIDAD
I0176  ANALISIS DE CIRCUITOS Y REDES
CB123  ANALISIS DE FOURIER
H0572  ANALISIS DE FOURIER
D0659  ANALISIS DE FUENTES DE FINANCIAMIENTO
I0218  ANALISIS DE IMAGENES
I0219  ANALISIS DE SEÑALES BIOELECTRICAS
I0220  ANALISIS DE SEÑALES BIOMECANICAS
SI101  ANALISIS DE SISTEMAS
CB124  ANALISIS DE SISTEMAS Y SEÑALES
I0690  ANALISIS DE SISTEMAS Y SEÑALES
D0646  ANALISIS DE VALORES Y RIESGOS DE LOS RECURSOS DEL GRUPO DE INTERES
I8853  ANALISIS E INTERPRETACION DE DATOS DE INVESTIGACION EN NUTRICION
D0668  ANALISIS E INTERPRETACION DE ESTADOS FINANCIEROS
CB125  ANALISIS MULTIVARIABLE
I0684  ANALISIS NUMERICO
CC332  ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION
I0335  ANALISIS Y PROCESAMIENTO DE IMAGENES GEOGRAFICAS
CB126  ANTENAS Y PROPAGACION
H0610  ANTENAS Y PROPAGACION
D0959  ANTROPOLOGIA BIOLOGICA
D1348  ANTROPOLOGIA DE GENERO
D1355  ANTROPOLOGIA DE LA NUTRICION
D0996  ANTROPOLOGIA DE LA RELIGION
D0997  ANTROPOLOGIA DEL CUERPO Y DE LA SALUD
D0987  ANTROPOLOGIA FEMINISTA Y DE GENERO
FI106  ANTROPOLOGIA FILOSOFICA
D0978  ANTROPOLOGIA MEDICA
D1346  ANTROPOLOGIA SIMBOLICA
D0969  ANTROPOLOGIA Y DERECHOS HUMANOS
I8875  APLICACION PROFESIONAL EN ALIMENTACION Y NUTRICION POBLACIONAL
I8869  APLICACION PROFESIONAL EN CIENCIAS DE LOS ALIMENTOS
I8871  APLICACION PROFESIONAL EN GESTION DE SERVICIOS DE ALIMENTOS
I8873  APLICACION PROFESIONAL EN NUTRICION CLINICA
I9107  APLICACIONES DE LA ENTREVISTA PSICOLOGICA
PB117  APLICACIONES DE LA ENTREVISTA PSICOLOGICA
PA120  APLICACIONES DE LA PSICOLOGIA SOCIAL
H0500  APRENDIZAJE BASADO EN ACTIVIDADES COLABORATIVAS VIRTUALES
H0499  APRENDIZAJE BASADO EN MATERIALES HIPERMEDIA
IF127  APRENDIZAJE DE PROYECTOS BASICOS
CB127  ARQUITECTURA AVANZADA DE COMPUTADORAS
H0611  ARQUITECTURA AVANZADA DE COMPUTADORAS
IF110  ARQUITECTURA DE COMPUTADORAS
FN130  ARRENDADORAS
CT126  ARRENDADORAS FINANCIERAS
P0588  ATENCION PRIMARIA
I0699  AUDIO Y VIDEOCONFERENCIA INTERACTIVA
AU105  AUDITORIA ADMINISTRATIVA
I5116  AUDITORIA ADMINISTRATIVA
AU106  AUDITORIA ADMINISTRATIVA DE EMPRESAS TURISTICAS
SI105  AUDITORIA EN INFORMATICA
AU100  AUDITORIA I
AU101  AUDITORIA II
AU102  AUDITORIA III
CC337  AUDITORIA INFORMATICA
AU103  AUDITORIA IV
I8708  AUTOCUIDADO DE GRUPOS DE RIESGO
CB128  AUTOMATAS PROGRAMABLES
CB129  AUTOMATAS Y LENGUAJES FORMALES
CB130  AUTOMATISMOS
I7437  AUTOMATIZACION
CB131  AUTOMATIZACION DE SISTEMAS DE MANUFACTURA
EN102  BANCA Y ORGANIZACIONES AUXILIARES DE CREDITO
CT127  BANCARIA
DV110  BANCARIO
IF131  BASE DE DATOS
NC100  BASES BIOLOGICAS DE LA ACTIVIDAD PSIQUICA
CB133  BASES DE DATOS DISTRIBUIDAS
H0613  BASES DE DATOS RELACIONADOS
CB134  BASES DE DATOS RELACIONALES
D0919  BASES DE LA ETNOGRAFIA GENERAL
NC101  BASES FUNCIONALES DEL PSIQUISMO HUMANO
FO156  BASES MOLECULARES DE LA NUTRICION
I9171  BASES NEUROPSICOLOGICAS DE LAS CONDUCTAS ADICTIVAS
I9172  BASES NEUROPSICOLOGICAS DE LOS TRANSTORNOS NEUROPSIQUIATRICOS
EA129  BASES PROPEDEUTICAS EN ENFERMERIA
I9125  BASES PSICOBIOLOGICAS DEL COMPORTAMIENTO
PB103  BASES TEORICAS DE LA DINAMICA DE GRUPOS
I9103  BASES-TEORICO-PRACTICAS DE LA ENTREVISTA
SP100  BIOESTADISTICA
CS104  BIOETICA
CS146  BIOETICA Y NORMATIVIDAD
I8674  BIOLOGIA MOLECULAR
I8828  BIOLOGIA MOLECULAR
FO170  BIOLOGIA MOLECULAR
I0187  BIOLOGIA MOLECULAR
FM136  BIOMATEMATICAS
CB139  BIOMATERIALES
CB140  BIOMECANICA
MH127  BIOMECANICA
FO164  BIOQUIMICA
I8834  BIOQUIMICA DE LOS ALIMENTOS
FO155  BIOQUIMICA DE LOS ALIMENTOS
I8675  BIOQUIMICA HUMANA
FO161  BIOTECNOLOGIA DE LOS ALIMENTOS
I8844  BROMATOLOGIA
FO157  BROMATOLOGIA
I7420  CALCULO AVANZADO
I0686  CALCULO COMPUTACIONAL
IF128  CALCULO DE MULTIVARIABLES
CB145  CALCULO DE VARIAS VARIABLES
H0580  CALCULO DE VARIAS VARIABLES
I8836  CALCULO DIETETICO Y PLANEACION DE MENUS
IF114  CALCULO DIFERENCIAL E INTEGRAL
I7421  CALCULO DIFERENCIAL E INTEGRAL
CC336  CALIDAD EN LA INFORMATICA
AD125  CALIDAD TOTAL
EA130  CALIDAD TOTAL EN LOS SERVICIOS DE ENFERMERIA
EA138  CAMPO CLINICO DE ENFERMERIA EN LA MUJER
EA160  CAMPO CLINICO DE ENFERMERIA FUNDAMENTAL
EA139  CAMPO CLINICO DE ENFERMERIA INFANTIL
EA136  CAMPO CLINICO DE ENFERMERIA MEDICA EN EL ADULTO
EA144  CAMPO CLINICO EN ADMINISTRACION Y GESTION DE LA CALIDAD EN ENFERMERIA
EA145  CAMPO CLINICO EN ENFERMERIA AVANZADA
EA137  CAMPO CLINICO EN ENFERMERIA QUIRURGICA EN EL ADULTO
CB149  CAMPO ELECTROMAGNETICO Y ONDAS
I9173  CAPACITACION Y DESARROLLO DE PERSONAL
I5106  CAPACITACION Y DESARROLLO DE PERSONAL
D0644  CARACTERIZACION DE GRUPOS DE PRODUCTORES
I0197  CARTOGRAFIA DIGITAL
D0929  CARTOGRAFIA Y FUNDAMENTOS DE LOS SISTEMAS DE INFORMACION GEOGRAFICA
CICO  CC331
I9174  CEREBRO Y LENGUAJE
CB153  CIENCIA
NC107  CIENCIAS COGNITIVAS
I7441  CINEMATICA Y DINAMICA DE MAQUINAS
CB154  CIRCUITOS ELECTRICOS
IF101  CIRCUITOS ELECTRICOS
I7427  CIRCUITOS ELECTRICOS I
I7428  CIRCUITOS ELECTRICOS II
CISJ  CJ100
CISJ  CJ101
CISJ  CJ102
CISJ  CJ103
CISJ  CJ106
CISJ  CJ109
CISJ  CJ111
CISJ  CJ125
CISJ  CJ134
CISJ  CJ136
CISJ  CJ150
CL101  CLINICA DE CARDIOLOGIA
CQ104  CLINICA DE ORTOPEDIA Y TRAUMATOLOGIA
CL112  CLINICA MEDICA PARA ENFERMERIA
CQ110  CLINICA QUIRURGICA PARA ENFERMERIA
I0221  CODIGOS CORRECTORES
CB155  COMBINATORIA
CT128  COMERCIO EXTERIOR
MN105  COMERCIO INTERNACIONAL
CT129  COMISIONES
CB157  COMPILADORES
H0637  COMPILADORES
I6184  COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
AD126  COMPORTAMIENTO ORGANIZACIONAL
I9157  COMPORTAMIENTO Y SALUD LABORAL EN LA PSICOLOGIA ORGANIZACIONAL
DD114  COMPUTACION
D1172  COMPUTACION
CC105  COMPUTACION BASICA
D0684  COMPUTACION BASICA
CB158  COMPUTACION TOLERANTE A FALLAS
I8859  COMUNICACION CIENTIFICA EN NUTRICION
IF136  COMUNICACION DIGITAL
PA105  COMUNICACION EDUCATIVA
I9129  COMUNICACION HUMANA
IF141  COMUNICACION SATELITAL
I8547  COMUNICACION Y TECNOLOGIAS DE LA INFORMACION
IF135  COMUNICACIONES OPTICAS
I0228  COMUNICACIONES OPTICAS
CB159  CONCEPTOS DE CALCULO DIFERENCIAL E INTEGRAL
H0583  CONCEPTOS DE CALCULO DIFERENCIAL E INTEGRAL
I5101  CONCEPTOS FISCALES FUNDAMENTALES
D1131  CONCURSOS MERCANTILES
MN107  CONDUCTA DEL CONSUMIDOR
CT130  CONSTRUCTORAS E INMOBILIARIAS
CT102  CONTABILIDAD ADMINISTRATIVA
I5119  CONTABILIDAD ADMINISTRATIVA
I5120  CONTABILIDAD DE COSTOS
CT119  CONTABILIDAD DE COSTOS EN SERVICIOS TURISTICOS
CT115  CONTABILIDAD DE COSTOS I
I5086  CONTABILIDAD GENERAL
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
MN145  CONTABILIDAD INTERNACIONAL
I5341  CONTABILIDAD INTERNACIONAL Y MONEDA EXTRANJERA
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
CT108  CONTABILIDAD VIII
